tt,BrandLocale,AV-US,BB-US,BU-US,CL-CA,CL-US,EL-CA,EL-US,LM-US,MC-CA,MC-US,OR-US,SB-US,AV-CA
1,mobLoyaltyHamburger,//*[@class='icon icon--hamburger'],//*[@class='site-header-formatter__menu-icon-label'],//*[@class='icon icon--hamburger'],[class='gnav-header-block__menu-icon-label'],[class='gnav-header-block__menu-icon-label'],,,[class='icon icon--tripple-hamburger'],,,//*[@class='gnav-util__icon icon'],"//*[contains(@class,'gnav-util--hamburger')]",//*[@class='icon icon--hamburger']
1,registerGnavMob,//*[@class='site-header__menu-item guest-content'],"//*[contains(@class,'site-header-formatter__extra-link')]","//*[contains(@class,'menu__item--mq-hide-medium-up menu__item--account')]/a",.gnav-block-navigation-courtesy [aria-label='Sign in'],//*[@href='https://m.clinique.com/account/index.tmpl'],//*[@data-test-id='gnav_account_menu_login'],[class='signed-out-link'],"//*[contains(@class,' js-gnav-util-trigger-account')]",a[id='site-my-mac'],a[id='site-my-mac'],"//*[contains(@href,'/account/signin.tmpl')]","//*[contains(@class,'js-track-main-category-link')]",//*[@class='site-header__menu-item guest-content']
1,pollingTime1,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
1,pollingTime,100,100,100,100,100,100,100,100,100,100,100,100,100
1,timeOut,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
1,waitForLtySec,,,,,,30000,30000,600000,,,100000,,
1,loyaltyRegisterNowMob,[class='js-new-account-link sign-in-page__link'],.js-new-account-link,//p[@class='js-return-user-link section-head__link js-register-link'],//*[@data-test-id='form_signin_registernow'],//*[@data-test-id='form_signin_registernow'],//*[@class='js-signin-panel-link js-create-account create-account sign-in-panel__link'],//*[@class='js-signin-panel-link js-create-account create-account sign-in-panel__link'],,//*[@class='js-new-account-link sign-in-page__tab_link'],//*[@class='js-new-account-link sign-in-page__tab_link'],//*[@class='link js-new-account-link'],//span[@data-test-id='registration_link'],//*[@class='js-new-account-link sign-in-page__link']
1,joinNow,,"//*[contains(@class,'js-account-page__non__loyalty__join__now__link')] | //*[contains(@class,'js-loyalty-join-now-submit')]",//*[@class='js-join-loyalty basic-tout__button button'],[class='js-elc-button basic_cta_partial elc-button button--dark'],//*[@href='/smartrewards' and @aria-label='Join Smart Rewards'],//*[@class='form-submit btn_join js-account-index__loyalty__enrollment'],//*[@class='form-submit btn_join js-account-index__loyalty__enrollment'],//*[@class='button js-loyalty-join-now-button'],[for='form--loyalty--field--LOYALTY_ACTIVE_FLAG'],[for='form--loyalty--field--LOYALTY_ACTIVE_FLAG'],.js-marketing__enrollment__join,[class='button loyalty-sign-up__join js-loyalty-join-button'],
1,loyaltyTerms,,//*[@id='form--loyalty_join--field--ACCEPTED_LOYALTY_TERMS'],,,,,,[for='form--loyalty_join--field--ACCEPTED_LOYALTY_TERMS'],"//*[contains(@class,' js-dynamic-redirection-join-btn')]","//*[contains(@class,' js-dynamic-redirection-join-btn')]",[class='marketing__enrollment__accept__terms__checkbox js-loyalty-active-flag'],,
1,profilePage,,,,//*[@href='/smartrewards' and @aria-label='Join Smart Rewards'],,,,,.js-site-header-formatter__utilities--loyalty-link,.menu >li > [href='/mac-lover'],//*[@class='utility-nav__menu-items']/ a[@href='/origins-loyalty-marketing-page'] | //*[@class='sticky-footer-mobile__item sticky-footer-mobile__item--2']/a,,
1,rewards,,,[class='rewards-submenu'],[href='/account/loyalty/index.tmpl#history'],[href='/loyalty-landing'],,,.loyalty.sidebar-menu__item > .sidebar-menu__item__title,.sidebar-menu__item.new.loyalty_member_link >a,//a[@href='/account/loyalty'],[class='sidebar-menu__item js-loyalty-index-page'] >a,[href='/account/loyalty/index.tmpl#smashcash'],
1,RegisterEmailId1,,,,,,,,,,,,,
1,RegisterPWD1,,,,,//input[@id='form--registration_short--field--ACCEPTED_PRIVACY_POLICY_PRESENT'],,,,,,,,
1,MRegisterEmailId1,,,,,,,,,,,,,
1,MRegisterPWD1,,,,,,,,,,,,,
1,firstName,,,,,,,,,[id='form--loyalty--field--FIRST_NAME'],[id='form--loyalty--field--FIRST_NAME'],,,
1,lastName,,,,,,,,,#form--loyalty--field--LAST_NAME,#form--loyalty--field--LAST_NAME,,,
1,postalCode,,,,,,,,,#form--loyalty--field--POSTAL_CODE,#form--loyalty--field--POSTAL_CODE,,,
1,joinNowCheckbox,,,,[id='form--loyalty_join--field--LOYALTY_ACTIVE_FLAG'],.js-checkbox-check-area.elc-checkbox-not-selected,,,,,,,,
1,mrktPgAccTerms,,,,,,,,,[for='form--loyalty--field--PC_EMAIL_PROMOTIONS'],,,,
1,submitForm,,,,[data-test-id='form_profile_update'],.elc-join-loyalty-button.button--dark.js-join-loyalty-button.button--dark,,,,.lyl-signin-submit-btn,.lyl-signin-submit-btn,,,
1,HamburgerIcon,,,,//*[@class='svgicon svgicon--burger hide_auth'],//*[@class='svgicon svgicon--burger hide_auth'],,,,,,,,
1,productID,//*[@id='Category_Details']/table[13]/tbody/tr/td[1],//*[@id='Category_Details']/table[13]/tbody/tr/td[1],//*[@id='Category_Details']/table[13]/tbody/tr/td[1],//*[@id='Category_Details']/table[13]/tbody/tr/td[1],//*[@id='Category_Details']/table[13]/tbody/tr/td[1],//*[@id='Category_Details']/table[13]/tbody/tr/td[1],//*[@id='Category_Details']/table[13]/tbody/tr/td[1],//*[@id='Category_Details']/table[13]/tbody/tr/td[1],//*[@id='Category_Details']/table[13]/tbody/tr/td[1],//*[@id='Category_Details']/table[13]/tbody/tr/td[1],//*[@id='Category_Details']/table[13]/tbody/tr/td[1],//*[@id='Category_Details']/table[13]/tbody/tr/td[1],//*[@id='Category_Details']/table[13]/tbody/tr/td[1]
1,bagIcon,"//*[contains(@href,'/checkout/viewcart.tmpl')] | //*[contains(@class,'js-gnav-cart')]/a","//*[contains(@class,'js-gnav-cart')]/a | //*[@href='/checkout/viewcart.tmpl']","//*[contains(@href,'/checkout/viewcart.tmpl')] | //*[contains(@class,'js-gnav-cart')]/a","//*[@href='/checkout/viewcart.tmpl'] | //*[contains(@class,'site-header-formatter__cart')]","//*[contains(@class,'js-gnav-cart')]/a | //*[@href='/checkout/viewcart.tmpl']","//*[contains(@href,'/checkout/viewcart.tmpl')] | //*[contains(@class,'utility-nav__cart-button')]","//*[contains(@class,'js-gnav-cart')]/a | //*[@href='/checkout/viewcart.tmpl']","//*[contains(@class,'js-gnav-cart')]/a | //*[@href='/checkout/viewcart.tmpl']","//*[contains(@class,'js-gnav-cart')]/a | //*[@href='/checkout/viewcart.tmpl']","//*[@href='/checkout/viewcart.tmpl'] | //*[contains(@class,'js-gnav-cart')]/a |","//*[contains(@class,'js-gnav-cart')]/a | //*[@href='/checkout/viewcart.tmpl']","//*[contains(@class,'js-gnav-cart')]/a | //*[@href='/checkout/viewcart.tmpl']","""//*[contains(@href,'/checkout/viewcart.tmpl')] | //*[contains(@class,'js-gnav-cart')]/a"""
1,welcomeOffRedeemBtn,,,,,[data-test-id] [tabindex='-1']:nth-of-type(2) .elc-loyalty-benefits-offer-button,//*[@class='loyalty__panel__offers__button js-loyalty__panel__offers__button button--offers' and @data-offer-id='elist15'],//*[@class='loyalty__panel__offers__button js-loyalty__panel__offers__button button--offers' and @data-offer-id='elist15'],//a[@class='loyalty__panel__offers__button button--offers button offer_combinable   ' and @data-offer-id='waveswelcome'],,,,[data-offer-id='lyl_15_off'],
1,signupPopUp1,,,,button#cboxClose,,,,,span.icon-remove,button#cboxClose,,,button#cboxClose
1,signupPopUp2,,,[class='site-email-signup__close js-site-email-signup__close jquery-once-1-processed'],button#cboxClose,,.icon.gnav-signup-overlay__icon--close,button.close,,button.close,.icon-remove,,,
1,welcPopUp,,,,[class='close-link'],,button#cboxClose,,,button#cboxClose,,,,button#cboxClose
1,emailPopup,,,,,,,,,,,,,
1,cookieRejectBtn,,,,.onetrust-close-btn-handler ,,[id='onetrust-reject-all-handler'],,,.onetrust-close-btn-handler ,,,,.onetrust-close-btn-handler 
1,loyaltyJoinPopup,,.bz-close-btn,,,,,[class='icon gnav-signup-overlay__icon--close'],,,,,,
1,ordConfPgPopup1,,.brdialog-close.invitation-navigation-element,.brdialog-close.invitation-navigation-element,,.brdialog-close.invitation-navigation-element,,//*[@class='brdialog-close invitation-navigation-element'] | //*[@class='cnx-closeoverlay invitation-navigation-element'],,,.brdialog-close.invitation-navigation-element,//*[@class='brdialog-close invitation-navigation-element'] | //*[@class='cnx-closeoverlay invitation-navigation-element'],//*[@class='brdialog-close invitation-navigation-element'] | //*[@class='cnx-closeoverlay invitation-navigation-element'],
1,ordConfPgPopup2,, //*[@class='cnx-closeoverlay invitation-navigation-element'], //*[@class='cnx-closeoverlay invitation-navigation-element'],,,,.extole-js-widget-close.extole-controls.extole-controls--close,,.extole-js-widget-close.extole-controls.extole-controls--close, //*[@class='cnx-closeoverlay invitation-navigation-element'],.extole-js-widget-close.extole-controls.extole-controls--close,,
1,appliedOffersId,body > p:nth-of-type(8),body > p:nth-of-type(8),body > p:nth-of-type(8),body > p:nth-of-type(8),body > p:nth-of-type(8),body > p:nth-of-type(8),body > p:nth-of-type(8),body > p:nth-of-type(8),body > p:nth-of-type(8),body > p:nth-of-type(8),body > p:nth-of-type(8),body > p:nth-of-type(8),body > p:nth-of-type(8)
1,appliedOffersId1,body > p:nth-of-type(7),body > p:nth-of-type(7),body > p:nth-of-type(7),body > p:nth-of-type(7),body > p:nth-of-type(7),body > p:nth-of-type(7),body > p:nth-of-type(7),body > p:nth-of-type(7),body > p:nth-of-type(7),body > p:nth-of-type(7),body > p:nth-of-type(7),body > p:nth-of-type(7),body > p:nth-of-type(7)
1,loyMenu,,,,,,,,,,,,,
1,purchaseAmnt,,,,,[data-test-id='cart_subtotal'],.total.value.order-summary__total-value,.total.value.order-summary__total-value,.order-summary-content__value--total,,,[id='subtotal-row-total'],[id='subtotal-row-total'],
1,lPntVcart,,,,,,[class='order-summary__loyalty-points-description'],[class='order-summary__loyalty-points-description'],[class='loyalty-points-content__summary__member-content'],,,[class='loyalty-member__data'],[class='loyalty_points_section_content'],
1,benefitSection,,,,,[data-test-id='loyalty-benefits-image-slider'],//*[@class='loyalty__panel__offers__list'] | //*[@class='loyalty__panel__offers__list slick-initialized slick-slider'],//*[@class='loyalty__panel__offers__list'] | //*[@class='loyalty__panel__offers__offer manual'],[id='loyalty__panel__offers'],,,[id='loyalty__panel__rewards'],,
1,gnavCart,,,,,.js-header-gnav-cart__trigger,.utility-nav__cart-button,.utility-nav__cart-button,"//*[contains(@class,'js-gnav-cart')]/a | //*[@class='js-gnav-util-trigger--cart gnav-util__cart']",,,[class='utility-nav__cart-icon gnav-util__icon js-gnav-cart-trigger'],,
1,lPntOrConPg,,,,,[id='loyalty-points-confirm'],[class='confirmation-page__points__earned'],,.confirmation-content__loyalty-points,,,[class='purchase__description'],,
1,gnavCheckoutBtn,,,,,[data-test-id='cart_overlay_checkout'],,,[data-test-id='cart_overlay_checkout'],,,[data-test-id='cart_overlay_checkout'],,
1,checkoutButtonId2,,,,,,,,[id='sticky-checkout-button-overlay'] > a[class='checkout-buttons-content__item button continue-checkout'],,,,,
1,lPntChkout,,,,,.acac-sidebar-order-summary-loyalty-points,,,,,,,,
1,gnavAccountSec,,,,,"//*[contains(@class,'header-gnav-account-link__text account-auth-text--default')]",,,,,,,,
1,accSettings,,,,,"//a[contains(@class,'js-account-menu-link sidebarSettings')]",,,,,,,,
1,firstNameProfile,,,,,#form--profile_preferences--field--FIRST_NAME,,,,,,,,
1,lastNameProfile,,,,,#form--profile_preferences--field--LAST_NAME,,,,,,,,
1,birthDateProfile,,,,,form--profile_preferences--field--BIRTH_DAY,,,,,,,,
1,birthMonthProfile,,,,,form--profile_preferences--field--BIRTH_MONTH,,,,,,,,
1,profileUpdate,,,,,[data-test-id='form_profile_update'],,,,,,,,
1,birthdayOffRedeemBtn,,,,,[data-test-id] [tabindex='-1']:nth-of-type(3) .elc-loyalty-benefits-offer-button,,,,,,,,
1,loyReturnUserId,,,,,,,,,,[id='form--signin--field--EMAIL_ADDRESS'],[id='form--signin--field--LOGIN_ID'],,
1,loyReturnUserPwd,,,,,,,,,,[id='form--signin--field--PASSWORD'],[id='form--signin--field--PASSWORD'],,
1,signinButton,,,,,,,,,,[data-test-id='form_signin_continue'],[data-test-id='form_signin_continue'],,
1,tier2StatusId,,,,,,,,,,,//*[@class='loyalty__points__status loyalty__points__status tier-2'],,
1,tier3StatusId,,,,,,,,,,,//*[@class='loyalty__points__status loyalty__points__status tier-3'],,
1,rewardRedeemBtn,,,,,,,,,,,//*[@class='loyalty__panel__redeem__button product-add-to-bag js-add-to-cart js-product-cta  ' and @data-offer-code='150pts_loyalty_2'],,
1,rewValidOfferMsg,,,,,,,,,,,,,
1,continueCheckoutBtn,,,,,,,,,,,[data-test-id='dp_continue_checkout'],,
1,redeemPointTxt,,,,,,,,,,,.product-brief-v2.cart_selected>[class='product-brief__detail'] > div> div[class='product__points__details'] > h2,,
1,offerPopupClose,,,,,,,,,,,[class='bz-close-btn'],,
1,admintoolUsername,,,,,,,,,,,input[name='USERNAME'],,
1,admintoolPwd,,,,,,,,,,,input[name='PASSWORD'],,
1,admintoolSubmit,,,,,,,,,,,[type='submit'],,
1,transRowId,,,,,,,,,,,p:nth-of-type(5) > table > tbody > tr,,
1,setOrdershipBtn,,,,,,,,,,,"//h2[contains(text(),'Loyalty Transactions')]/following-sibling::p[2]/table//input[contains(@value, 'Set Order to Shipped')]",,
1,transId1,,,,,,,,,,,p:nth-of-type(5) > table > tbody > tr:nth-of-type,,
1,transId2,,,,,,,,,,,> td:nth-of-type(6),,
1,upgradeProcess,,,,,,,,,,,input[value='Run UPGRADE PROCESS for this user'],,
1,discountAmnt,,,,,,,,,,,,,
1,loyPntLandPg,,,,,,,,,,,[class='sidebar-menu__item_loyalty_points'] > span,,
1,accountLoyaltySidebarMenuElem,,[class='site-header-formatter__utilities-link'],,,,[class='page-sticky-footer__loyalty page-sticky-footer__loyalty--join__link'],[class='page-sticky-footer__loyalty page-sticky-footer__loyalty--join__link'],,,,,,
1,accountLoyaltyContinueElem,,[id='js-marketing__enrollment__join'],,,,,,,,,,,
1,mobAccountLoyaltySidebarMenuElem,,,,[class='gnav-header-block__menu-icon-label'],[class='gnav-header-block__menu-icon-label'],//*[@href='/loyalty_ldg' and @class='account-landing-menu__link'],//*[@href='/loyalty_ldg' and @class='account-landing-menu__link'],,,,,,
1,mobAccountJoinNowElem,,,,"//*[@class=""text-link--style-2 gnav-block-navigation-courtesy-link"" and @aria-label='Join Smart Rewards']",.gnav-block-navigation-courtesy-item-non-loyalty > a[href='/smartrewards'],[class='loyalty_market__btn__join button cta js-join-popup'],[class='loyalty_market__btn__join button cta js-join-popup'],,,,,,
1,joinNowMrktPg,,,,,,,,,,,,,
1,accountJoinNowElem,,,,.gnav-block__courtesy-navigation-item-non-loyalty > a[href='/smartrewards'],//*[@href='/smartrewards' and @aria-label='Join Smart Rewards'],[class='form-submit btn_join js-join-popup'],[class='form-submit btn_join js-join-popup'],,,,,,
1,mobAccountLoyaltyContinueElem,,,,,,,,,,,,,
1,signinLoyaltyHamburgerElem,,,,,,,,,,,,,
1,signinRegisterGnavElem,,//*[@class='gnav-utility-item__trigger-label--text js-gnav-util-item-text'],,.gnav-block__courtesy-navigation-list [aria-label='Sign in'],//*[@class='text-link--style-2 gnav-block__courtesy-navigation-link' and @aria-label='Sign in'],//*[@data-test-id='gnav_account_menu_login'],[class='signed-out-link'],,,,,,
1,signinCreateAccountElem,,//*[@class='js-new-account-link sign-in-page__link'],,//*[@data-test-id='form_signin_registernow'],//*[@data-test-id='form_signin_registernow'],//*[@class='js-signin-panel-link js-create-account create-account sign-in-panel__link'],//*[@class='js-signin-panel-link js-create-account create-account sign-in-panel__link'],,,,,,
1,signinLoyaltyRegFirstNameElem,,,,,,//input[@id='form--registration--field--FIRST_NAME' or @data-test-id='form_firstname'],//input[@id='form--registration--field--FIRST_NAME' or @data-test-id='form_firstname'],,,,,,
1,signinLoyaltyRegLastNameElem,,,,,,,,,,,,,
1,signinLoyaltyRegEmailIdElem,,[id='form--registration_short--field--PC_EMAIL_ADDRESS'],,//input[@id='form--registration_short--field--PC_EMAIL_ADDRESS' or @data-test-id='form_email'],//input[@id='form--registration_short--field--PC_EMAIL_ADDRESS' or @data-test-id='form_email'],//input[@id='form--registration--field--PC_EMAIL_ADDRESS' or @data-test-id='form_email'],//input[@id='form--registration--field--PC_EMAIL_ADDRESS' or @data-test-id='form_email'],,,,,,
1,signinLoyaltyRegPasswordElem,,//*[@id='form--registration_short--field--PASSWORD'],,//input[@id='form--registration_short--field--PASSWORD' or @data-test-id='form_password'],[id='form--registration_short--field--PASSWORD'],//input[@id='form--registration--field--PASSWORD' or @data-test-id='form_password'],//input[@id='form--registration--field--PASSWORD' or @data-test-id='form_password'],,,,,,
1,signinLoyaltyRegisterTermsElem,,//*[@for='form--registration_short--field--LOYALTY_ACTIVE_FLAG'],,//*[@for='form--registration_short--field--LOYALTY_ACTIVE_FLAG'],//*[@for='form--registration_short--field--LOYALTY_ACTIVE_FLAG'],[for='form--registration--field--ACCEPTED_LOYALTY_POLICY'],//*[@for='form--registration--field--PROMO_AND_LOYALTY_JOIN'],,,,,,
1,signinAccountTermsElem,,,,//*[@for='form--registration_short--field--ACCEPTED_PRIVACY_POLICY'],,,,,,,,,
1,signinRegisterContinueElem,,[data-test-id='form_registration_continue'],,[data-test-id='form_registration_continue'],[data-test-id='form_registration_continue'],//*[@class='form-submit js-create-account__loyalty'],[data-test-id='form_registration_continue'],,,,,,
1,accountRewardsSectionElem,,,,//*[@href='https://www.clinique.ca/account/loyalty/index.tmpl' and @aria-label='My Rewards'],.gnav-block__courtesy-navigation-item > a[href='/loyalty-landing'],,,,,,,,
1,loyaltyCurrentPointsElem,,//*[@class='points__current'],,[data-test-id='account_loyalty_points'],"//*[contains(@class,'js-loyalty-points-info-value')]",.points>.points__current,.points>.points__current,,,,,,
1,loyaltyTierStatusIdElem,,//span[@class='loyalty__panel__points__title__level tier-1'],,[class='loyalty__panel__points__bg__slide__content'],"//*[contains(@class,'js-loyalty-tier-info-current-tier-text')]", [class='tier-1'],[class='tier-1'],,,,,,
1,mobSigninLoyaltyHamburgerElem,,.icon.icon--menu,,[class='gnav-header-block__menu-icon-label'],[class='gnav-header-block__menu-icon-label'],,,,,,,,
1,mobSigninRegisterGnavElem,,.js-site-header-formatter__extra-link--account,,.gnav-block-navigation-courtesy [aria-label='Sign in'],.gnav-block-navigation-courtesy [aria-label='Sign in'],//*[@data-test-id='gnav_account_menu_login'],[class='signed-out-link'],,,,,,
1,mobSigninCreateAccountElem,,[class='js-new-account-link sign-in-page__link'],,//*[@data-test-id='form_signin_registernow'],//*[@data-test-id='form_signin_registernow'],//*[@class='js-signin-panel-link js-create-account create-account sign-in-panel__link'],//*[@class='js-signin-panel-link js-create-account create-account sign-in-panel__link'],,,,,,
1,loyaltyProfilePageElem,,,,,,,,,,,,,
1,loyaltyTermsCondElem,,,,,,,,,,,,,
1,loyaltyBirthDayElem,,,,,,,,,,,,,
1,loyaltyBirthMonthElem,,,,,,,,,,,,,
1,loyaltyJoinNowMarketPgElem,,,,[class='content-block__links js-analytics-tag-content-module js-contentmodule-analytics-processed'] > a[class='js-elc-button basic_cta_partial elc-button button--dark'],"//*[contains(@class,'content-block__links')]/a[@href='/account']",,,,,,,,
1,loyaltyGnavElem,,,,,,,,,,,,,
1,loyaltyMarketPgFirstNameElem,,,,,,,,,,,,,
1,loyaltyMarketPgLastNameElem,,,,,,,,,,,,,
1,loyaltyPostalCodeElem,,,,,,,,,,,,,
1,loyaltyJoinNowCheckboxElem,,,,[id='form--loyalty_join--field--LOYALTY_ACTIVE_FLAG'],.elc-checkbox-check-area.js-checkbox-check-area,,,,,,,,
1,loyaltyMarketPgAccTermsElem,,,,,,,,,,,,,
1,loyaltySubmitFormElem,,,,[data-test-id='form_profile_update'],.elc-join-loyalty-button.button--dark,,,,,,,,
1,orderConfirmationSurveyPopupElem,,,,,//*[@class='brdialog-close invitation-navigation-element'] | //*[@class='cnx-closeoverlay invitation-navigation-element'],,//*[@class='brdialog-close invitation-navigation-element'] | //*[@class='cnx-closeoverlay invitation-navigation-element'],,,,,,
1,orderConfirmationReferFriendPopupElem,,,,,,,.extole-js-widget-close.extole-controls.extole-controls--close,,,,,,
1,orderConfirmationSignupPasswordElem,,,,[id='form--completed_checkout_registration--field--PASSWORD'],[id='form--completed_checkout_registration--field--PASSWORD'],#form--completed_checkout_registration--field--PASSWORD,#form--completed_checkout_registration--field--PASSWORD,,,,,,
1,orderConfirmationZipcodeElem,,,,,,,,,,,,,
1,orderConfirmationBirthDayElem,,,,,,,,,,,,,
1,orderConfirmationBirthMonthElem,,,,,,,,,,,,,
1,orderConfirmationLoyaltyTermsElem,,,,#form--loyalty_join--field--LOYALTY_ACTIVE_FLAG,#form--loyalty_join--field--LOYALTY_ACTIVE_FLAG,[for='form--loyalty_join--field--LOYALTY_ACTIVE_FLAG'],[for='form--loyalty_join--field--LOYALTY_ACTIVE_FLAG'],,,,,,
1,orderConfirmationAccountTermsElem,,,,,,,,,,,,,
1,orderConfirmationRegisterContinueElem,,,,[class='form-submit button green_bg'],[class='form-submit button green_bg'],//*[@data-test-id='form_completed_checkout_registration_submit'],//*[@data-test-id='form_completed_checkout_registration_submit'],,,,,,
1,orderConfirmationJoinPopupElem,,,,,,,,,,,,,
1,orderConfirmationFirstNameElem,,,,,,,,,,,,,
1,orderConfirmationLastNameElem,,,,,,,,,,,,,
1,orderConfirmationLoyaltyAcceptElem,,,,,,,,,,,,,
1,orderConfirmationEmailIdElem,,,,,,,,,,,,,
1,orderConfirmationPasswordElem,,,,,,,,,,,,,
1,orderConfirmationSignupContinueElem,,,,,,,,,,,,,
1,cookieRejectElem,,,,[id='cboxClose'],,[id='onetrust-reject-all-handler'],,,.onetrust-close-btn-handler ,,,,.onetrust-close-btn-handler 
1,loyaltyJoinPopupElem,,.bz-close-btn,,[id='onetrust-reject-all-handler'],[id='cboxClose'],,.js-gnav-signup-overlay-close,,,,,,
1,profilePopupCloseElem,,,,[id='cboxClose'],,button#cboxClose,button#cboxClose,button#cboxClose,,,,,
1,mobLoyaltyHamburgerElem,,,,,,,,,,,,,
1,mobRewardSection,,,[class='loyalty_benefits_rewards-button-container'] > a,.points-history > a,,,,,,,,,
1,mobSigninRegisterContinueElem,,[data-test-id='form_registration_continue'],,[data-test-id='form_registration_continue'],[data-test-id='form_registration_continue'],[data-test-id='form_registration_continue'],[data-test-id='form_registration_continue'],,,,,,
1,mobSigninAccountTermsElem,,,,[for='form--registration_short--field--ACCEPTED_PRIVACY_POLICY'],,,,,,,,,
1,mobAccountRewardsSectionElem,,,,,,,,,,,,,
1,loyaltyIndexUrlElem,,,,,,/account/loyalty/index.tmpl,/account/loyalty/index.tmpl,,,,,,
1,loyaltyBenefitSectionElem,,,,,,//*[@class='loyalty__panel__offers__list'] | //*[@class='loyalty__panel__offers__list slick-initialized slick-slider'],[class='loyalty__panel__offers__list'],,,,,,
1,mobLoyaltyBenefitSectionElem,,,,,,//*[@class='loyalty__panel__offers__list'] | //*[@class='loyalty__panel__offers__list slick-initialized slick-slider'],[class='loyalty__panel__offers__list-container'],,,,,,
1,loyaltyWelcomeOfferRedeemElem,,,,,,//*[@class='loyalty__panel__offers__button js-loyalty__panel__offers__button button--offers' and @data-offer-id='elist15'],//*[@class='loyalty__panel__offers__button js-loyalty__panel__offers__button button--offers' and @data-offer-id='elist15'],,,,,,
1,loyaltyGnavCartElem,,,,,,.utility-nav__cart-button,.utility-nav__cart-button,,,,,,
1,loyaltyGnavContinueCheckoutElem,,,,,,,,,,,,,
1,mobLoyaltyWelcomeOfferRedeemElem,,,,,,//*[@class='loyalty__panel__offers__button js-loyalty__panel__offers__button button--offers' and @data-offer-id='elist15'],//*[@class='loyalty__panel__offers__button js-loyalty__panel__offers__button button--offers' and @data-offer-id='elist15'],,,,,,
1,mobLoyaltyGnavCartElem,,,,,,.utility-nav__cart-button,.utility-nav__cart-button,,,,,,
1,mobLoyaltyGnavContinueCheckoutElem,,,,,,,,,,,,,
1,offerManagerUrlElem,,,,,,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,,,,,,
1,offerAppliedIdElem,,,,,,body > p:nth-of-type(7),body > p:nth-of-type(7),,,,,,
1,offerAppliedLowerEnvIdElem,,,,,,body > p:nth-of-type(8),body > p:nth-of-type(8),,,,,,
1,offerViewCartPageUrlElem,,,,,,/checkout/viewcart.tmpl,/checkout/viewcart.tmpl,,,,,,
1,cartPurchaseAmountElem,,,,,,.total.value.order-summary__total-value,.total.value.order-summary__total-value,,,,,,
1,cartDiscountAmountElem,,,,,,,,,,,,,
1,mobCartPurchaseAmountElem,,,,,,.total.value.order-summary__total-value,.total.value.order-summary__total-value,,,,,,
1,mobCartDiscountAmountElem,,,,,,,,,,,,,
1,cartLoyaltyPointElem,,,,,,[class='order-summary__loyalty-points-description'],[class='order-summary__loyalty-points-description'],,,,,,
1,mobCartLoyaltyPointElem,,,,,,[class='order-summary__loyalty-points-description'],[class='order-summary__loyalty-points-description'],,,,,,
1,mobAccountLoyaltyHamburgerElem,,,,[class='gnav-header-block__menu-icon-label'],[class='gnav-header-block__menu-icon-label'],,,,,,,,
1,mobAccountLoyaltyRewardsElem,,,,//*[@class='text-link--style-2 gnav-block-navigation-courtesy-link' and @aria-label='My Rewards'],.gnav-block-navigation-courtesy-item-loyalty > a[href='/loyalty-landing'],,,,,,,,
1,mobSigninLoyaltyRegisterTermsElem,,//*[@for='form--registration_short--field--LOYALTY_ACTIVE_FLAG'],,//*[@for='form--registration_short--field--LOYALTY_ACTIVE_FLAG'],//*[@for='form--registration_short--field--LOYALTY_ACTIVE_FLAG'],[for='form--registration--field--ACCEPTED_LOYALTY_POLICY'],//*[@for='form--registration--field--PROMO_AND_LOYALTY_JOIN'],,,,,,
1,mobMarketingLoyaltyRewardsSectionElem,,,,[class='points-history'] > a,,,,,,,,,
1,accountRewardsElem,,,,//*[@class='text-link--style-2 gnav-block__courtesy-navigation-link' and @aria-label='My Rewards'],,,,,,,,,
1,mobAccountRewardsElem,,,,.points-history > a,,,,,,,,,
